"TermTested","TermRostered","DistrictName","SchoolName","Teacher","ClassName","Subject","Course","ASGType","NormsReferenceData","GrowthComparisonPeriod","WIStartTerm","WIEndTerm","OptionalGroupingCategory","OptionGroupingGroup","StudentID","StudentLastName","StudentFirstName","StudentMiddleInitial","StudentGrade","TestDate","StartRIT","StartRITSEM","StartPercentile","StartPercentileSE","StartTestDuration","EndTestDate","EndRIT","EndRITSEM","EndPercentile","EndPercentileSE","EndTestDuration","ProjectedRIT","ProjectedGrowth","ObservedGrowth","ObservedGrowthSE","GrowthIndex","MetGrowthProjection?","ConditionalGrowthIndex","ConditionalGrowthPercentile","PercentageofStudentswhoMetorExceededtheirProjectedRIT","PercentageofProjectedGrowthMet","CountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","CountofStudentswhoMetorExceededtheirProjectedGrowth","MedianConditionalGrowthPercentile","OptionalGroupingPercentageofStudentswhoMetorExceededtheirProjectedRIT","OptionalGroupingOverallPercentageofProjectedRITMet","OptionalGroupingCountofStudentswithGrowthProjectionAvailableandValidBeginningandEndingTermScores","OptionalGroupingCountofStudentswhoMetorExceededtheirProjectedGrowth","OptionalGroupingMedianConditionalGrowthPercentile","StartGrowthandAchievement","EndGrowthandAchievement","ConditionalGrowthPercentileAxis","AchievementPercentileAxis"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2551827259","LEWIS","May","W","1","","","","","","","9/4/","170","3.49","80","8.8","76","","","","","","","","","53.4","182.0","22","12","62","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2513460153","REN","Kevin","H","1","9/7/","170","3.33","80","6.8","55","9/13/","180","3.26","94","4.2","105","176.00","6","10","4.2","4","Yes","0.95","69","61.4","196.5","15","9","59","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2527463800","RODRIGUEZ","Max","U","1","9/2/","167","3.28","74","6.0","77","9/15/","167","3.33","74","8.4","34","172.00","5","0","4.0","-5","No","-1.25","25","70.7","97.3","21","15","37","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2547388792","RODRIGUEZ","Justin","W","1","9/8/","163","3.51","64","6.3","42","9/14/","168","3.46","76","8.8","46","167.00","4","5","5.2","1","Yes*","0.19","54","48.3","197.0","16","8","42","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2598292612","SONG","Hannah","J","1","9/9/","150","3.35","28","5.2","97","9/13/","145","3.42","18","8.8","84","156.00","6","-5","4.9","-11","No","-2.24","5","75.0","113.4","21","16","53","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538553319","THOMAS","Peter","H","1","","","","","","","9/13/","166","3.26","72","4.2","60","","","","","","","","","50.7","118.7","24","12","65","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2525356396","WILSON","Justin","H","1","9/9/","159","3.51","53","6.7","38","9/1/","167","3.28","74","4.8","64","162.00","3","8","5.4","5","Yes","0.93","69","53.2","190.4","20","11","36","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2575802771","XU","Iris","L","1","","","","","","","9/14/","170","3.54","80","6.9","89","","","","","","","","","66.4","199.2","16","11","62","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2573655158","XU","Owen","C","1","","","","","","","9/1/","162","3.58","61","5.4","112","","","","","","","","","76.4","85.4","18","14","46","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2579987997","ZHANG","Rachel","B","1","","","","","","","9/1/","144","3.57","16","6.6","32","","","","","","","","","64.8","199.5","23","15","55","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2522304198","ALLEN","Victor","A","1","9/5/","212","3.31","99","2.1","73","9/11/","221","3.4","99","1.6","95","217.00","5","9","4.2","4","Yes","0.95","69","61.5","99.6","16","10","62","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2594970119","ALLEN","Zoe","T","1","9/6/","169","3.29","40","7.4","71","9/4/","178","3.56","62","7.6","103","175.00","6","9","5.2","3","Yes*","0.58","62","50.3","172.8","18","9","54","","","","","","High-G/Low-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2524636981","CAO","Amber","W","1","","","","","","","9/12/","142","3.57","3","1.3","112","","","","","","","","","59.4","127.6","22","13","38","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2522762205","CHENG","Claire","Y","1","","","","","","","9/2/","163","3.53","27","6.2","113","","","","","","","","","55.5","200.0","16","9","59","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2585776373","CLARK","Thomas","G","1","","","","","","","9/4/","161","3.51","23","6.4","117","","","","","","","","","55.5","153.1","24","13","44","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2529804386","GAO","Ryan","E","1","9/10/","164","3.36","29","6.1","81","9/7/","168","3.53","38","5.0","114","171.00","7","4","5.2","-3","No","-0.58","38","70.1","115.4","20","14","36","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2514114726","GARCIA","Calvin","G","1","","","","","","","9/1/","177","3.35","60","8.5","44","","","","","","","","","66.9","131.1","17","11","66","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2527013243","HU","Diana","C","1","","","","","","","9/5/","151","3.48","8","2.4","38","","","","","","","","","75.5","163.9","20","15","58","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2599300492","HUANG","Crystal","K","1","9/2/","190","3.49","86","2.9","120","9/10/","186","3.5","79","4.7","84","197.00","7","-4","4.8","-11","No*","-2.29","4","58.1","97.4","15","9","59","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2510819505","LEWIS","Leo","Y","1","9/14/","189","3.58","84","4.7","81","9/4/","197","3.47","93","4.3","31","195.00","6","8","4.3","2","Yes","0.47","59","67.3","142.5","23","15","41","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2551827259","LEWIS","May","W","1","9/2/","195","3.55","92","2.8","65","9/11/","206","3.21","98","2.4","92","202.00","7","11","5.5","4","Yes","0.73","65","53.5","139.4","24","13","62","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2513460153","REN","Kevin","H","1","","","","","","","9/15/","171","3.48","45","5.2","107","","","","","","","","","65.5","87.1","15","10","75","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2527463800","RODRIGUEZ","Max","U","1","9/10/","182","3.24","71","5.7","58","9/13/","187","3.39","81","6.1","98","186.00","4","5","4.2","1","Yes*","0.24","55","60.4","182.8","25","15","35","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2547388792","RODRIGUEZ","Justin","W","1","9/3/","166","3.55","33","5.5","85","9/5/","161","3.51","23","5.0","75","168.00","2","-5","4.2","-7","No","-1.67","17","63.4","173.6","24","15","68","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2598292612","SONG","Hannah","J","1","9/7/","189","3.56","84","6.3","47","9/9/","202","3.57","97","2.2","38","194.00","5","13","5.0","8","Yes","1.6","82","47.1","129.2","17","8","65","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538553319","THOMAS","Peter","H","1","9/4/","163","3.45","27","8.1","103","9/6/","169","3.5","40","7.3","95","165.00","2","6","4.8","4","Yes","0.83","67","77.3","120.5","17","13","51","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2525356396","WILSON","Justin","H","1","9/8/","167","3.21","35","8.3","56","9/15/","182","3.28","71","5.9","45","175.00","8","15","4.7","7","Yes","1.49","80","48.2","101.0","24","12","68","","","","","","High-G/Low-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2575802771","XU","Iris","L","1","","","","","","","9/8/","174","3.5","52","7.3","39","","","","","","","","","51.4","149.0","22","11","68","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2573655158","XU","Owen","C","1","9/9/","162","3.5","25","4.3","56","9/3/","159","3.37","19","4.9","96","170.00","8","-3","4.9","-11","No","-2.24","5","78.8","169.0","25","20","46","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Carter, Sarah","G1B","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2579987997","ZHANG","Rachel","B","1","","","","","","","9/8/","187","3.23","81","4.4","41","","","","","","","","","79.1","173.7","23","18","45","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2599541016","CAO","Ella","N","1","","","","","","","9/6/","167","3.31","74","7.9","71","","","","","","","","","61.0","198.9","19","12","45","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2585764804","CHENG","Fiona","E","1","9/4/","141","3.58","11","2.9","105","9/1/","151","3.22","31","5.5","54","146.00","5","10","5.1","5","Yes","0.98","70","57.3","144.5","25","14","62","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538933176","DAVIS","Andrew","D","1","","","","","","","9/1/","154","3.45","39","7.9","115","","","","","","","","","76.8","105.9","17","13","36","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538351344","DONG","Derek","K","1","9/8/","174","3.46","87","4.3","55","9/10/","186","3.58","98","1.6","44","179.00","5","12","5.3","7","Yes","1.32","76","51.6","117.3","23","12","70","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2568978194","FAN","Brian","K","1","9/11/","155","3.22","42","5.9","67","9/15/","153","3.23","36","5.2","97","159.00","4","-2","4.7","-6","No*","-1.28","24","55.1","99.3","23","13","55","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2546866075","HARRIS","Andrew","C","1","","","","","","","9/15/","153","3.49","36","6.5","103","","","","","","","","","67.4","81.9","21","14","48","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2532566390","HU","Liam","T","1","9/2/","168","3.44","76","8.9","37","9/13/","160","3.32","56","8.0","102","173.00","5","-8","4.0","-13","No*","-3.25","1","64.7","183.1","17","11","47","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2587277086","JOHNSON","Ruby","Z","1","9/12/","159","3.48","53","8.9","58","9/6/","168","3.23","76","9.0","32","161.00","2","9","4.7","7","Yes*","1.49","80","64.6","147.1","15","10","57","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2533581357","MARTINEZ","Tyler","Z","1","9/6/","141","3.6","11","3.3","35","9/2/","145","3.3","18","5.1","112","146.00","5","4","5.2","-1","No","-0.19","46","73.4","97.4","19","14","50","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2516679008","MILLER","Ryan","Y","1","","","","","","","9/2/","145","3.6","18","8.1","92","","","","","","","","","64.6","180.5","21","14","73","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2553589647","MOORE","Sean","Z","1","9/15/","148","3.4","24","6.0","99","9/13/","145","3.45","18","6.6","50","156.00","8","-3","4.9","-11","No","-2.24","5","70.6","109.9","24","17","46","","","","","","Low-G/Low-A","Low-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2517028380","SU","Iris","D","1","","","","","","","9/13/","147","3.45","22","6.8","39","","","","","","","","","45.7","178.9","22","10","71","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2548530827","SUN","Victor","W","1","","","","","","","9/14/","145","3.36","18","4.8","106","","","","","","","","","53.6","160.2","21","11","71","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2515505975","TANG","Ruby","L","1","","","","","","","9/7/","122","3.53","1","2.0","106","","","","","","","","","45.4","163.1","15","7","63","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2597980930","WHITE","Evan","R","1","9/15/","138","3.39","8","4.5","114","9/15/","150","3.56","28","6.8","119","142.00","4","12","4.1","8","Yes*","1.95","89","63.6","127.3","23","15","47","","","","","","High-G/Low-A","High-G/Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2568475513","XU","Diana","N","1","","","","","","","9/11/","149","3.48","26","4.7","73","","","","","","","","","51.4","117.3","17","9","62","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2570468188","XU","Chris","T","1","9/2/","176","3.36","90","4.7","55","9/13/","185","3.39","97","1.2","59","183.00","7","9","4.8","2","Yes","0.42","58","46.3","126.6","16","7","39","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2598122539","XU","Chris","V","1","9/3/","164","3.38","67","8.4","58","9/15/","177","3.35","91","2.1","68","171.00","7","13","5.5","6","Yes","1.09","72","50.0","135.2","23","12","49","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2557535513","YANG","Nathan","P","1","9/10/","179","3.56","93","3.2","63","9/9/","180","3.35","94","4.8","60","186.00","7","1","4.4","-6","No*","-1.36","23","56.2","122.8","17","10","55","","","","","","Low-G/High-A","Low-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Language Arts","Reading","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2596629889","ZHU","Alan","E","1","9/14/","165","3.38","69","7.1","98","9/14/","177","3.34","91","2.5","96","173.00","8","12","5.4","4","Yes","0.74","65","50.9","92.0","18","9","73","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2599541016","CAO","Ella","N","1","9/14/","184","3.42","75","5.6","81","9/13/","196","3.34","92","3.6","59","189.00","5","12","5.3","7","Yes*","1.32","76","56.1","116.7","16","9","75","","","","","","High-G/High-A","High-G/High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2585764804","CHENG","Fiona","E","1","","","","","","","9/9/","174","3.54","52","6.5","117","","","","","","","","","69.5","189.3","16","11","64","","","","","","","High-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538933176","DAVIS","Andrew","D","1","","","","","","","9/6/","155","3.24","13","4.8","33","","","","","","","","","70.5","181.9","19","13","57","","","","","","","Low-A","50","50"
"Fall 2025-2026","Fall 2025-2026","Greenfield International Academy","GIA-Primary","Davis, Robert","G1G","Mathematics","Math K-12","Summary","2025","Fall 2024 - Fall 2025","4","4","NONE","","2538351344","DONG","Derek","K","1","9/9/","181","3.27","69","7.1","39","9/9/","179","3.41","65","6.0","79","186.00","5","-2","4.2","-7","No*","-1.67","17","48.6","194.7","19","9","74","","","","","","Low-G/High-A","Low-G/High-A","50","50"
